"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","participant","","text","Record ID","","Sent to the BP+ as the patient ID, so the measurement identifies itself in its own XML.","","","","","","","","","","",""
"first_name","participant","","text","First name","","Optional. Delete this field, or replace it with your own identifiers.","","","","y","","","","","","",""
"last_name","participant","","text","Last name","","Optional, like the one above.","","","","y","","","","","","",""
"bpplus_intro","bpplus_measurement","BP+ measurement","descriptive","<div id=""bpplus-status"" style=""margin-bottom:12px;"">Loading the BP+ module...</div> <div style=""display:flex;gap:10px;flex-wrap:wrap;margin-bottom:10px;""> <button type=""button"" id=""bpplus-connect"" class=""btn btn-primaryrc"">Connect BP+</button> <button type=""button"" id=""bpplus-measure"" class=""btn btn-primaryrc"" disabled>Measure</button> <button type=""button"" id=""bpplus-cancel"" class=""btn btn-defaultrc"" disabled>Cancel</button> <button type=""button"" id=""bpplus-ping"" class=""btn btn-defaultrc"" disabled>Check device</button> </div> <div id=""bpplus-alerts"" style=""display:none;""></div> <div id=""bpplus-results""></div> <div id=""bpplus-device-info""></div>","","","","","","","","","","","","",""
"bpplus_sys","bpplus_measurement","Brachial pressures","text","Brachial systolic (mmHg)","","Filled by the BP+. Do not type over it.","integer","40","300","","","","","","","",""
"bpplus_dia","bpplus_measurement","","text","Brachial diastolic (mmHg)","","Filled by the BP+. Do not type over it.","integer","20","200","","","","","","","",""
"bpplus_map","bpplus_measurement","","text","Brachial mean arterial pressure (mmHg)","","Filled by the BP+. Do not type over it.","integer","25","250","","","","","","","",""
"bpplus_hr","bpplus_measurement","","text","Pulse rate (bpm)","","Filled by the BP+. Do not type over it.","integer","30","240","","","","","","","",""
"bpplus_csys","bpplus_measurement","Central pressures and indices","text","Central systolic (mmHg)","","Derived by the BP+ from the suprasystolic capture. Filled by the device -- do not type over it.","integer","40","300","","","","","","","",""
"bpplus_cdia","bpplus_measurement","","text","Central diastolic (mmHg)","","Filled by the BP+. Do not type over it.","integer","20","200","","","","","","","",""
"bpplus_ai","bpplus_measurement","","text","Augmentation index (%)","","sAI. Can legitimately be negative in a young participant.","number","-50","100","","","","","","","",""
"bpplus_snr","bpplus_measurement","","text","Signal-to-noise ratio (dB)","","The raw number, not its quality band. A band that moved later would leave a stored label wrong with nothing to check it against.","number","","","","","","","","","",""
"bpplus_irregular","bpplus_measurement","","radio","Irregular rhythm detected","1, Yes | 0, No","From the pulse-rate variability measured during the suprasystolic capture. Left blank when the device did not report it.","","","","","","","","","","",""
"bpplus_datetime","bpplus_measurement","Provenance -- written by the device, not by the operator","text","Measurement time (device clock)","","The clock inside the device, which is what the result XML records. The module checks it against this computer before every measurement and sets it when it has drifted.","datetime_seconds_ymd","","","","","","","","","",""
"bpplus_guid","bpplus_measurement","","text","Measurement GUID","","Filled by the BP+. Do not type over it.","","","","","","","","","","",""
"bpplus_device_id","bpplus_measurement","","text","BP+ device ID","","Which physical device took this reading. Worth keeping when a study runs more than one.","","","","","","","","","","",""
"bpplus_status","bpplus_measurement","","text","Capture status","","Set to ""complete"" by the module once a reading has been stored. Useful in branching logic, and in a report of the records still to be measured.","","","","","","","","","","",""
"bpplus_xml_text","bpplus_measurement","The result file from the device","text","Recording status, or the reduced recording","","With file storage on this holds a marker -- the size, hash and document id of the recording that was filed. With file storage off, or when filing failed, it holds the recording itself, reduced to fit: a text field takes 65,535 bytes and a full result is larger, so the choice is reduced or truncated, and a document cut off mid-element is worth nothing. A value beginning with ""<"" is a recording; anything else is a marker.","","","","","","","","","","","@HIDDEN-SURVEY"
"bpplus_xml","bpplus_measurement","","file","Raw measurement XML","","Written by the module when ""Store the raw measurement XML as a file"" is on. Around 80 kB, and more for a multi-reading protocol, which is why it is a file and not a text field. It holds everything above, and the cuff pressure recordings as well.","","","","","","","","","","","@HIDDEN-SURVEY"
